1,16430,843,15587,
2,6311,621,5690,
3,3083,427,2656,
,25824,1891,23933,0.073226456
4,2111,342,1769,
5,1302,266,1036,
6,1162,258,904,
,4575,866,3709,0.189289617
7,756,211,545,
8,590,165,425,
9,477,160,317,
,1823,536,1287,0.294020845
10,409,139,270,
11,290,142,148,
12,276,101,175,
,975,382,593,0.391794872
13,225,113,112,
14,161,81,80,
15,179,88,91,
,565,282,283,0.499115044
16,125,51,74,
17,127,70,57,
18,115,56,59,
19,96,50,46,
20,85,52,33,
21,58,30,28,
22,71,47,24,
23,48,29,19,
24,41,25,16,
25,46,23,23,
26,31,17,14,
27,35,19,16,
28,36,25,11,
29,24,12,12,
30,16,12,4,
31,21,11,10,
32,18,8,10,
33,18,12,6,
34,15,10,5,
35,12,9,3,
36,24,17,7,
164,2,2,0,
37,6,5,1,
38,10,7,3,
39,9,9,0,
40,10,8,2,
41,5,5,0,
42,8,5,3,
170,1,1,0,
43,3,2,1,
44,12,8,4,
45,8,7,1,
46,5,4,1,
47,11,8,3,
48,4,2,2,
49,9,8,1,
50,7,6,1,
51,10,7,3,
52,7,7,0,
53,3,1,2,
54,2,2,0,
55,3,3,0,
56,3,2,1,
57,8,8,0,
59,2,1,1,
60,3,3,0,
61,5,5,0,
62,1,1,0,
63,1,1,0,
64,2,1,1,
65,2,2,0,
66,1,1,0,
67,1,1,0,
68,1,1,0,
69,5,5,0,
70,4,4,0,
71,5,3,2,
72,2,1,1,
73,3,1,2,
74,2,2,0,
76,2,1,1,
78,1,1,0,
80,5,3,2,
81,9,2,7,
82,1,1,0,
84,1,1,0,
86,1,1,0,
87,2,2,0,
91,2,2,0,
94,4,4,0,
99,1,1,0,
100,2,0,2,
101,2,2,0,
106,1,0,1,
107,1,1,0,
115,1,1,0,
118,2,2,0,
126,1,1,0,
139,1,1,0,
,1288,762,526,0.591614907
